video_id,language,subtopic,timecode,section,line
ratioShare-en,en,Sharing unequally,1:04,close,That is the whole method. Try one yourself.
ratioShare-fr,fr,Partager inégalement,0:00,the situation,"30 bonbons pour deux frères, 3 pour l'un et 2 pour l'autre à chaque fois."
ratioShare-fr,fr,Partager inégalement,0:08,why it matters,"Compte d'abord les parts. 3 et 2 font 5 parts, pas 2."
ratioShare-fr,fr,Partager inégalement,0:14,into the method,Voici comment faire.
ratioShare-fr,fr,Partager inégalement,0:17,step 1 — 3 + 2 = 5 shares,"Additionne les nombres du rapport pour trouver le nombre de parts. C'est l'étape que tout le monde saute, et la sauter rend tout faux."
ratioShare-fr,fr,Partager inégalement,0:29,step 2 — 30 ÷ 5 = 6,"Divise le total par le nombre de parts. Une part vaut 6. Tu sais ce que vaut une part, le reste n'est que multiplication."
ratioShare-fr,fr,Partager inégalement,0:41,step 3 — 3 × 6 = 18  and  2 × 6 = 12,"18 et 12. Ensemble, ils refont 30. Additionne toujours tes deux réponses. Si ça ne fait pas le total, il y a une erreur."
ratioShare-fr,fr,Partager inégalement,0:53,the trap,Une dernière chose — l'erreur à éviter. Attention : compte d'abord les parts.
ratioShare-fr,fr,Partager inégalement,1:00,close,Voilà toute la méthode. Essaie-en une.
shortDiv-en,en,Short division,0:00,the situation,852 sweets shared fairly between 4 children.
shortDiv-en,en,Short division,0:04,why it matters,Work left to right this time — the opposite of adding. Share the biggest pieces first.
shortDiv-en,en,Short division,0:13,into the method,Here is how to do it.
shortDiv-en,en,Short division,0:16,step 1 — 8 ÷ 4 = 2,Start at the left. 8 hundreds shared by 4 is 2 hundreds each. Division starts at the big end because that is how you actually share things out.
shortDiv-en,en,Short division,0:30,"step 2 — 5 ÷ 4 = 1 r 1, carry the 1","4 goes into 5 once, and 1 is left over. Carry it to the next digit. The leftover 1 is really 10, which is why it joins the next column."
shortDiv-en,en,Short division,0:45,step 3 — 12 ÷ 4 = 3 → 213,The carried 1 makes 12. 12 ÷ 4 is 3. Each child gets 213. Check: 213 × 4 should give 852 back.
shortDiv-en,en,Short division,0:56,close,That is the whole method. Try one yourself.
shortDiv-fr,fr,Division courte,0:00,the situation,852 bonbons partagés équitablement entre 4 enfants.
shortDiv-fr,fr,Division courte,0:04,why it matters,Ici on va de gauche à droite — l'inverse de l'addition. Partage d'abord les plus gros morceaux.
shortDiv-fr,fr,Division courte,0:13,into the method,Voici comment faire.
shortDiv-fr,fr,Division courte,0:16,step 1 — 8 ÷ 4 = 2,"Commence à gauche. 8 centaines partagées par 4, cela fait 2 centaines chacun. La division commence par le grand bout, parce que c'est ainsi qu'on partage vraiment."
shortDiv-fr,fr,Division courte,0:29,"step 2 — 5 ÷ 4 = 1 r 1, carry the 1","4 entre une fois dans 5, il reste 1. Reporte-le sur le chiffre suivant. Ce reste de 1 vaut en fait 10, d'où son passage à la colonne suivante."
shortDiv-fr,fr,Division courte,0:43,step 3 — 12 ÷ 4 = 3 → 213,La retenue fait 12. 12 ÷ 4 = 3. Chaque enfant a 213. Vérifie : 213 × 4 doit redonner 852.
shortDiv-fr,fr,Division courte,0:54,close,Voilà toute la méthode. Essaie-en une.
shortMul-en,en,Short multiplication,0:00,the situation,A shop sells juice in crates of 6. There are 248 crates.
shortMul-en,en,Short multiplication,0:07,why it matters,"Break 248 into its columns and multiply each one, right to left."
shortMul-en,en,Short multiplication,0:13,into the method,Here is how to do it.
shortMul-en,en,Short multiplication,0:17,"step 1 — 8 × 6 = 48, write 8 carry 4","Ones first. 48 is four tens and eight. Same rule as adding: one digit per column, the rest moves left."
shortMul-en,en,Short multiplication,0:27,"step 2 — 4 × 6 = 24, +4 = 28","Tens next. Multiply, then add what you carried. Multiply first, add the carry after. Doing it the other way gives the wrong answer."
shortMul-en,en,Short multiplication,0:38,"step 3 — 2 × 6 = 12, +2 = 14 → 1 488","1 488 bottles. Roughly 250 × 6 = 1500, so 1 488 is believable."
shortMul-en,en,Short multiplication,0:46,close,That is the whole method. Try one yourself.
shortMul-fr,fr,Multiplication courte,0:00,the situation,Un magasin vend du jus par caisses de 6. Il y a 248 caisses.
shortMul-fr,fr,Multiplication courte,0:07,why it matters,"Découpe 248 en colonnes et multiplie chacune, de droite à gauche."
shortMul-fr,fr,Multiplication courte,0:14,into the method,Voici comment faire.
shortMul-fr,fr,Multiplication courte,0:17,"step 1 — 8 × 6 = 48, write 8 carry 4","Les unités d'abord. 48, c'est quatre dizaines et huit. Même règle que l'addition : un chiffre par colonne, le reste part à gauche."
shortMul-fr,fr,Multiplication courte,0:28,"step 2 — 4 × 6 = 24, +4 = 28","Puis les dizaines. Multiplie, puis ajoute la retenue. Multiplie d'abord, ajoute la retenue après. L'inverse donne un mauvais résultat."
shortMul-fr,fr,Multiplication courte,0:38,"step 3 — 2 × 6 = 12, +2 = 14 → 1 488","1 488 bouteilles. Environ 250 × 6 = 1500, donc 1 488 est crédible."
shortMul-fr,fr,Multiplication courte,0:45,close,Voilà toute la méthode. Essaie-en une.
sqcube-en,en,Squares and cubes,0:00,the situation,"A square patio, 7 slabs along each side. How many slabs?"
sqcube-en,en,Squares and cubes,0:06,why it matters,7 rows of 7 is 49. That is what “seven squared” means — a square.
sqcube-en,en,Squares and cubes,0:14,into the method,Here is how to do it.
sqcube-en,en,Squares and cubes,0:18,step 1 — 7² = 7 × 7 = 49,"The little 2 says how many sevens to multiply together. It never means × 2. 7² is 49, not 14 — that is the commonest mistake here."
sqcube-en,en,Squares and cubes,0:31,step 2 — 4³ = 4 × 4 × 4,"Cubed means three of them, like a cube with sides of 4. Squared is a flat square, cubed is a solid box. The words describe shapes."
sqcube-en,en,Squares and cubes,0:44,step 3 — = 64,"16 × 4 = 64. Do it in steps. 4×4 first, then ×4 again — not all at once."
sqcube-en,en,Squares and cubes,0:53,the trap,"One last thing — the mistake to watch for. Careful: 7² is 49, not 14."
sqcube-en,en,Squares and cubes,1:01,close,That is the whole method. Try one yourself.
sqcube-fr,fr,Carrés et cubes,0:00,the situation,"Une terrasse carrée, 7 dalles de côté. Combien de dalles ?"
sqcube-fr,fr,Carrés et cubes,0:06,why it matters,7 rangées de 7 font 49. Voilà ce que veut dire « sept au carré » — un carré.
sqcube-fr,fr,Carrés et cubes,0:16,into the method,Voici comment faire.
sqcube-fr,fr,Carrés et cubes,0:19,step 1 — 7² = 7 × 7 = 49,"Le petit 2 dit combien de sept multiplier entre eux. Ça ne veut jamais dire × 2. 7² fait 49, pas 14 — l'erreur la plus courante."
sqcube-fr,fr,Carrés et cubes,0:32,step 2 — 4³ = 4 × 4 × 4,"Au cube, c'est trois fois, comme un cube de côté 4. Au carré, c'est un carré plat ; au cube, une boîte. Les mots décrivent des formes."
sqcube-fr,fr,Carrés et cubes,0:45,step 3 — = 64,"16 × 4 = 64. Fais-le par étapes. 4×4 d'abord, puis ×4 encore — pas tout à la fois."
sqcube-fr,fr,Carrés et cubes,0:55,the trap,"Une dernière chose — l'erreur à éviter. Attention : 7² fait 49, pas 14."
sqcube-fr,fr,Carrés et cubes,1:02,close,Voilà toute la méthode. Essaie-en une.
tables-en,en,Tables to twelve,0:00,the situation,"Every morning Binta collects eggs. Six nests, seven eggs in each."
tables-en,en,Tables to twelve,0:06,why it matters,"She could count them one by one, every morning, for the rest of her life. Or she could know that 6 sevens are 42."
tables-en,en,Tables to twelve,0:18,into the method,Here is how to do it.
tables-en,en,Tables to twelve,0:22,step 1 — 6 × 7 = 42,Six sevens are forty-two. This one is worth knowing cold — it turns up inside long division constantly.
tables-en,en,Tables to twelve,0:31,step 2 — 7 × 6 = 42,"And the other way round is the same. You only ever learn half a table. 6 rows of 7 and 7 rows of 6 are the same eggs, counted differently."
tables-en,en,Tables to twelve,0:46,close,That is the whole method. Try one yourself.
tables-fr,fr,Tables jusqu'à douze,0:00,the situation,"Chaque matin Binta ramasse les œufs. Six nids, sept œufs dans chacun."
tables-fr,fr,Tables jusqu'à douze,0:07,why it matters,"Elle pourrait les compter un par un, chaque matin, toute sa vie. Ou elle pourrait savoir que 6 fois 7 font 42."
tables-fr,fr,Tables jusqu'à douze,0:18,into the method,Voici comment faire.
tables-fr,fr,Tables jusqu'à douze,0:21,step 1 — 6 × 7 = 42,Six fois sept font quarante-deux. Celle-ci vaut la peine d'être sue par cœur — elle revient sans cesse dans la division posée.
tables-fr,fr,Tables jusqu'à douze,0:31,step 2 — 7 × 6 = 42,"Et dans l'autre sens, c'est pareil. On n'apprend jamais qu'une demi-table. 6 rangées de 7 et 7 rangées de 6, ce sont les mêmes œufs, comptés autrement."
tables-fr,fr,Tables jusqu'à douze,0:45,close,Voilà toute la méthode. Essaie-en une.
twoUnknowns-en,en,Two unknowns,0:00,the situation,Two numbers. They add to 7. They multiply to 12.
twoUnknowns-en,en,Two unknowns,0:06,why it matters,Do not guess wildly. List the pairs that multiply to 12 and check which adds to 7.
twoUnknowns-en,en,Two unknowns,0:14,into the method,Here is how to do it.
twoUnknowns-en,en,Two unknowns,0:18,"step 1 — pairs making 12: 1×12, 2×6, 3×4","Start with the multiplying, because there are fewer options. Multiplication narrows things down fast. Addition has far too many pairs."
twoUnknowns-en,en,Two unknowns,0:28,step 2 — which adds to 7? 3 + 4,Check each pair against the second fact. Two facts about two numbers is always enough. You just have to use both.
twoUnknowns-en,en,Two unknowns,0:39,step 3 — 3 and 4,The numbers are 3 and 4. Test them both ways before you write anything down.
twoUnknowns-en,en,Two unknowns,0:47,close,That is the whole method. Try one yourself.
twoUnknowns-fr,fr,Deux inconnues,0:00,the situation,Deux nombres. Leur somme fait 7. Leur produit fait 12.
twoUnknowns-fr,fr,Deux inconnues,0:06,why it matters,Ne devine pas au hasard. Liste les paires qui font 12 et vois laquelle fait 7.
twoUnknowns-fr,fr,Deux inconnues,0:14,into the method,Voici comment faire.
twoUnknowns-fr,fr,Deux inconnues,0:17,"step 1 — pairs making 12: 1×12, 2×6, 3×4",Commence par la multiplication : il y a moins de possibilités. La multiplication réduit vite le champ. L'addition a bien trop de paires.
twoUnknowns-fr,fr,Deux inconnues,0:28,step 2 — which adds to 7? 3 + 4,Vérifie chaque paire avec le second fait. Deux faits sur deux nombres suffisent toujours. Il faut se servir des deux.
twoUnknowns-fr,fr,Deux inconnues,0:38,step 3 — 3 and 4,Les nombres sont 3 et 4. Teste-les dans les deux sens avant d'écrire.
twoUnknowns-fr,fr,Deux inconnues,0:45,close,Voilà toute la méthode. Essaie-en une.
volume-en,en,Volume,0:00,the situation,A box 4 cm by 3 cm by 5 cm. How many centimetre cubes fit?
volume-en,en,Volume,0:08,why it matters,"Fill the bottom layer first, then count how many layers."
volume-en,en,Volume,0:14,into the method,Here is how to do it.
volume-en,en,Volume,0:17,step 1 — bottom layer: 4 × 3 = 12,Twelve cubes cover the base. The base is just an area. You already know how to do that bit.
volume-en,en,Volume,0:27,step 2 — 5 layers,The box is 5 cubes tall. Volume is area with a third dimension stacked on top of it.
volume-en,en,Volume,0:36,step 3 — 12 × 5 = 60 cm³,"Sixty cubic centimetres. Little 3 this time, because you counted cubes rather than squares."
volume-en,en,Volume,0:44,close,That is the whole method. Try one yourself.
volume-fr,fr,Volume,0:00,the situation,Une boîte de 4 cm sur 3 cm sur 5 cm. Combien de cubes d'un centimètre ?
volume-fr,fr,Volume,0:09,why it matters,"Remplis d'abord la couche du bas, puis compte les couches."
volume-fr,fr,Volume,0:14,into the method,Voici comment faire.
volume-fr,fr,Volume,0:17,step 1 — bottom layer: 4 × 3 = 12,Douze cubes couvrent le fond. Le fond n'est qu'une aire. Tu sais déjà faire.
volume-fr,fr,Volume,0:25,step 2 — 5 layers,"La boîte fait 5 cubes de haut. Le volume, c'est l'aire avec une troisième dimension empilée dessus."
volume-fr,fr,Volume,0:34,step 3 — 12 × 5 = 60 cm³,"Soixante centimètres cubes. Petit 3 cette fois, parce que tu as compté des cubes, pas des carrés."
volume-fr,fr,Volume,0:42,close,Voilà toute la méthode. Essaie-en une.
